#Nucl_X Initial_stress Strength_excess Dc_0 Dc_Rate Seismic_Moment Ruptured_Area Rupture_velocity Stress_drop E_g E_r
1000. 0.05 0.11 0.5 0.12 0.42822E+17 0.13800E+07 0.35649E+04 0.10328E+09 0.46654E+14 0.21506E+14
1000. 0.05 0.11 0.5 0.15 0.42236E+17 0.13600E+07 0.35850E+04 0.10429E+09 0.46680E+14 0.21202E+14
1000. 0.1 0.01 0.1 0.0 0.22529E+19 0.84300E+08 0.33657E+04 0.11914E+08 0.19766E+15 0.21601E+15
1000. 0.1 0.01 0.1 0.03 0.19743E+19 0.78650E+08 0.33143E+04 0.11288E+08 0.24314E+15 0.10030E+15
1000. 0.1 0.01 0.1 0.06 0.14773E+19 0.73170E+08 0.32348E+04 0.99990E+07 0.18767E+15 0.39979E+14
1000. 0.1 0.01 0.1 0.09 0.70091E+18 0.41070E+08 0.31377E+04 0.10924E+08 0.93402E+14 0.24603E+14
1000. 0.1 0.01 0.1 0.12 0.28841E+18 0.20400E+08 0.32174E+04 0.14644E+08 0.44004E+14 0.21087E+14
1000. 0.1 0.01 0.1 0.15 0.15986E+18 0.12260E+08 0.33733E+04 0.20201E+08 0.30294E+14 0.19474E+14
1000. 0.1 0.01 0.2 0.0 0.21377E+19 0.81940E+08 0.33238E+04 0.11761E+08 0.22524E+15 0.16224E+15
1000. 0.1 0.01 0.2 0.03 0.18678E+19 0.77840E+08 0.32438E+04 0.10879E+08 0.24848E+15 0.64682E+14
1000. 0.1 0.01 0.2 0.06 0.11025E+19 0.58900E+08 0.30297E+04 0.99983E+07 0.14701E+15 0.22872E+14
1000. 0.1 0.01 0.2 0.09 0.28090E+18 0.19990E+08 0.30844E+04 0.14653E+08 0.47277E+14 0.16160E+14
1000. 0.1 0.01 0.2 0.12 0.11809E+18 0.94700E+07 0.33792E+04 0.23728E+08 0.27533E+14 0.15651E+14
1000. 0.1 0.01 0.2 0.15 0.89099E+17 0.69400E+07 0.35016E+04 0.29171E+08 0.24965E+14 0.15092E+14
1000. 0.1 0.01 0.3 0.0 0.20289E+19 0.80140E+08 0.32632E+04 0.11514E+08 0.23871E+15 0.12131E+15
1000. 0.1 0.01 0.3 0.03 0.17185E+19 0.76870E+08 0.30612E+04 0.10335E+08 0.23842E+15 0.35297E+14
1000. 0.1 0.01 0.3 0.06 0.20595E+18 0.15640E+08 0.30099E+04 0.16567E+08 0.39918E+14 0.12667E+14
1000. 0.1 0.01 0.3 0.09 0.80288E+17 0.65400E+07 0.34492E+04 0.30217E+08 0.25017E+14 0.12372E+14
1000. 0.1 0.01 0.3 0.12 0.68259E+17 0.52900E+07 0.35183E+04 0.34333E+08 0.24059E+14 0.12059E+14
1000. 0.1 0.01 0.3 0.15 0.61764E+17 0.45900E+07 0.35668E+04 0.37183E+08 0.23617E+14 0.11777E+14
1000. 0.1 0.01 0.4 0.0 0.19443E+19 0.78290E+08 0.30642E+04 0.11173E+08 0.24844E+15 0.86354E+14
1000. 0.1 0.01 0.4 0.03 0.69637E+17 0.60100E+07 0.34219E+04 0.32804E+08 0.25117E+14 0.10089E+14
